Species,C.value,Origins,Duration,Aquatic.Form
acorus_calamus_var._americanus,7,Native,Perennial,emergent
agrostis_stolonifera,0,Introduced,Perennial,emergent
alisma_sp,NA,Native,Perennial,emergent
alnus_sp,NA,NA,Perennial,emergent
alopecurus_aequalis,4,Native,Perennial,emergent
andromeda_glaucophylla,9,Native,Perennial,emergent
asclepias_incarnata,4,Native,Perennial,emergent
aster_sp,NA,NA,Perennial,emergent
betula_pumila,7,Native,Perennial,emergent
bidens_beckii,8,Native,Perennial,submersed
bidens_cernua,3,Native,Annual,emergent
bidens_sp,NA,Native,NA,emergent
bolboschoenus_fluviatilis,4,Native,Perennial,emergent
bolboschoenus_maritimus_subsp._paludosus,4,Native,Perennial,emergent
boltonia_asteroides,4,Native,Perennial,emergent
brasenia_schreberi,7,Native,Perennial,floating
butomus_umbellatus,0,Introduced,Perennial,emergent
calamagrostis_canadensis,4,Native,Perennial,emergent
calla_palustris,8,Native,Perennial,emergent
callitriche_palustris,6,Native,Perennial,submersed
callitriche_sp,NA,Native,Perennial,submersed
caltha_palustris,6,Native,Perennial,emergent
carex_aquatilis,7,Native,Perennial,emergent
carex_comosa,4,Native,Perennial,emergent
carex_lacustris,5,Native,Perennial,emergent
carex_lasiocarpa,7,Native,Perennial,emergent
carex_sp,NA,Native,Perennial,emergent
ceratophyllum_demersum,2,Native,Perennial,submersed
chamaedaphne_calyculata,8,Native,Perennial,emergent
chara_sp,NA,Native,Perennial,submersed
cicuta_bulbifera,7,Native,Perennial,emergent
cicuta_maculata,5,Native,Perennial,emergent
comarum_palustre,7,Native,Perennial,emergent
cornus_sp,NA,Native,Perennial,emergent
cyperus_esculentus,0,Introduced,Perennial,emergent
cyperus_sp,NA,Native,Annual,emergent
decodon_verticillatus,8,Native,Perennial,emergent
drepanocladus_sp,NA,Native,NA,emergent
dulichium_arundinaceum,8,Native,Perennial,emergent
elatine_sp,NA,Native,Annual,submersed
eleocharis_acicularis,4,Native,Annual,emergent
eleocharis_geniculata,NA,Native,Annual,emergent
eleocharis_palustris,5,Native,Perennial,emergent
eleocharis_sp,NA,Native,NA,emergent
elodea_canadensis,4,Native,Perennial,submersed
elodea_nuttallii,7,Native,Perennial,submersed
elodea_sp,NA,Native,Perennial,submersed
equisetum_fluviatile,7,Native,Perennial,emergent
equisetum_sp,NA,Native,Perennial,emergent
eragrostis_sp,NA,Native,NA,emergent
eriocaulon_aquaticum,9,Native,Perennial,submersed
eriophorum_sp,NA,Native,Perennial,emergent
eupatorium_maculatum,4,Native,Perennial,emergent
eupatorium_perfoliatum,4,Native,Perennial,emergent
eutrochium_sp,NA,Native,Perennial,emergent
fontinalis,NA,NA,NA,submersed
galium_sp,NA,Native,Perennial,emergent
glyceria_borealis,8,Native,Perennial,emergent
glyceria_canadensis,7,Native,Perennial,emergent
glyceria_grandis,6,Native,Perennial,emergent
glyceria_sp,NA,Native,Perennial,emergent
heteranthera_dubia,6,Native,Annual,submersed
hippuris_vulgaris,9,Native,Perennial,emergent
hypericum_ellipticum,9,Native,Perennial,emergent
hypericum_sp,NA,Native,Annual,emergent
impatiens_capensis,2,Native,Annual,emergent
impatiens_sp,NA,Native,Annual,emergent
iris_pseudacorus,0,Introduced,Perennial,emergent
iris_sp,NA,NA,Perennial,emergent
iris_versicolor,4,Native,Perennial,emergent
isoetes_sp,NA,Native,Perennial,submersed
juncus_effusus,4,Native,Perennial,emergent
juncus_sp,NA,Native,Perennial,emergent
ledum_palustre_subsp._groenlandicum,8,Native,Perennial,emergent
leersia_oryzoides,3,Native,Perennial,emergent
lemna_minor,5,Native,Perennial,floating
lemna_sp,NA,Native,Perennial,floating
lemna_trisulca,5,Native,Perennial,floating
littorella_uniflora,10,Native,Perennial,submersed
lobelia_dortmanna,10,Native,Perennial,emergent
lycopus_americanus,4,Native,Perennial,emergent
lysimachia_sp,NA,Native,Perennial,emergent
lysimachia_terrestris,7,Native,Perennial,emergent
lythrum_salicaria,0,Introduced,Perennial,emergent
mentha_arvensis,3,Native,Perennial,emergent
menyanthes_trifoliata,9,Native,Perennial,emergent
mimulus_ringens,5,Native,Perennial,emergent
myrica_gale,8,Native,Perennial,emergent
myriophyllum_alterniflorum,10,Native,Perennial,submersed
myriophyllum_farwellii,9,Native,Perennial,submersed
myriophyllum_heterophyllum,7,Native,Perennial,submersed
myriophyllum_sibiricum,7,Native,Perennial,submersed
myriophyllum_sp,NA,NA,Perennial,submersed
myriophyllum_spicatum,0,Introduced,Perennial,submersed
myriophyllum_tenellum,9,Native,Perennial,submersed
myriophyllum_verticillatum,8,Native,Perennial,submersed
najas_flexilis,5,Native,Annual,submersed
najas_gracillima,10,Native,Annual,submersed
najas_guadalupensis,8,Native,Annual,submersed
najas_marina,4,Native,Annual,submersed
najas_sp,NA,Native,Annual,submersed
nelumbo_lutea,8,Native,Perennial,floating
nitella_sp,NA,Native,NA,submersed
nuphar_microphylla,9,Native,Perennial,floating
nuphar_sp,NA,Native,Perennial,floating
nuphar_variegata,6,Native,Perennial,floating
nymphaea_leibergii,10,Native,Perennial,floating
nymphaea_odorata,6,Native,Perennial,floating
nymphaea_odorata_subsp._tuberosa,6,Native,Perennial,floating
nymphaea_sp,NA,Native,Perennial,floating
persciaria_sp,NA,Native,NA,emergent
persicaria_amphibia,4,Native,Perennial,floating
persicaria_lapathifolia,2,Native,Annual,emergent
phalaris_arundinacea,0,Introduced,Perennial,emergent
phragmites_australis,1,Native,Perennial,emergent
polygonum_sp,NA,NA,NA,emergent
pontederia_cordata,8,Native,Perennial,emergent
potamogeton_alpinus,9,Native,Perennial,submersed
potamogeton_amplifolius,7,Native,Perennial,submersed
potamogeton_bicupulatus,10,Native,Perennial,submersed
potamogeton_compressus,6,Native,Perennial,submersed
potamogeton_crispus,0,Introduced,Perennial,submersed
potamogeton_diversifolius,10,Native,Perennial,submersed
potamogeton_epihydrus,8,Native,Perennial,submersed
potamogeton_foliosus,6,Native,Perennial,submersed
potamogeton_friesii,8,Native,Perennial,submersed
potamogeton_gramineus,7,Native,Perennial,submersed
potamogeton_illinoensis,6,Native,Perennial,submersed
potamogeton_natans,5,Native,Perennial,submersed
potamogeton_nodosus,6,Native,Perennial,submersed
potamogeton_oakesianus,10,Native,Perennial,submersed
potamogeton_obtusifolius,8,Native,Perennial,submersed
potamogeton_praelongus,7,Native,Perennial,submersed
potamogeton_pusillus,7,Native,Perennial,submersed
potamogeton_richardsonii,5,Native,Perennial,submersed
potamogeton_robbinsii,8,Native,Perennial,submersed
potamogeton_sp,NA,Native,Perennial,submersed
potamogeton_spirillus,8,Native,Perennial,submersed
potamogeton_strictifolius,8,Native,Perennial,submersed
potamogeton_vaseyi,10,Native,Perennial,submersed
ranunculus_aquatilis,7,Native,Perennial,submersed
ranunculus_flabellaris,6,Native,Perennial,submersed
ranunculus_flammula,7,Native,Perennial,submersed
ranunculus_sceleratus,3,Native,Annual,floating
ranunculus_sp,NA,Native,Perennial,submersed
riccia_fluitans,NA,Native,NA,floating
rumex_britannica,6,Native,Perennial,emergent
rumex_sp,NA,NA,Perennial,emergent
ruppia_cirrhosa,6,Native,Perennial,submersed
sagittaria_cristata,8,Native,Perennial,emergent
sagittaria_cuneata,6,Native,Perennial,emergent
sagittaria_graminea,9,Native,Perennial,emergent
sagittaria_latifolia,3,Native,Perennial,emergent
sagittaria_rigida,7,Native,Perennial,emergent
sagittaria_sp,NA,Native,Perennial,emergent
salix_sp,NA,NA,Perennial,emergent
schoenoplectus_acutus,6,Native,Perennial,emergent
schoenoplectus_americanus,6,Native,Perennial,emergent
schoenoplectus_pungens,6,Native,Perennial,emergent
schoenoplectus_subterminalis,9,Native,Perennial,submersed
schoenoplectus_tabernaemontani,4,Native,Perennial,emergent
scirpus_atrovirens,4,Native,Perennial,emergent
scirpus_cyperinus,3,Native,Perennial,emergent
scirpus_sp,NA,Native,Perennial,emergent
scutellaria_galericulata,5,Native,Perennial,emergent
scutellaria_lateriflora,5,Native,Perennial,emergent
scutellaria_sp,NA,Native,Perennial,emergent
sium_suave,5,Native,Perennial,emergent
solidago_sp,NA,NA,Perennial,emergent
sparganium_americanum,8,Native,Perennial,emergent
sparganium_angustifolium,8,Native,Perennial,emergent
sparganium_emersum,6,Native,Perennial,emergent
sparganium_eurycarpum,5,Native,Perennial,emergent
sparganium_fluctuans,8,Native,Perennial,emergent
sparganium_sp,NA,Native,Perennial,emergent
sphagnum_magellanicum,NA,Native,NA,emergent
sphagnum_sp,NA,Native,NA,emergent
spiraea_alba,5,Native,Perennial,emergent
spiraea_tomentosa,7,Native,Perennial,emergent
spirodela_polyrrhiza,5,Native,Perennial,floating
stuckenia_filiformis,8,Native,Perennial,submersed
stuckenia_pectinata,3,Native,Perennial,submersed
stuckenia_vaginata,9,Native,Perennial,submersed
subularia_aquatica,10,Native,Annual,emergent
triadenum_fraseri,6,Native,Perennial,emergent
triadenum_virginicum,6,Native,Perennial,emergent
typha_angustifolia,0,Introduced,Perennial,emergent
typha_latifolia,2,Native,Perennial,emergent
typha_sp,NA,NA,Perennial,emergent
utricularia_cornuta,10,Native,Annual,submersed
utricularia_gibba,9,Native,Annual,floating
utricularia_intermedia,8,Native,Annual,submersed
utricularia_minor,8,Native,Perennial,submersed
utricularia_sp,NA,Native,Annual,submersed
utricularia_vulgaris_subsp._macrorhiza,5,Native,Perennial,submersed
vaccinium_sp,NA,Native,Perennial,emergent
vallisneria_americana,6,Native,Perennial,submersed
verbena_sp,NA,Native,Perennial,emergent
veronica_americana,6,Native,Perennial,emergent
